gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata
SEMA3G,2255.7821032845327,-2.320126953209965,0.21387833721614558,-10.84788194732056,2.041001177624861e-27,4.1410103921803324e-26,ENSG00000010319.7,56920,8
NISCH,6564.838393105768,0.27717775586667037,0.10603224171361397,2.614089369300604,0.008946563137323208,0.014232333918662226,ENSG00000010322.16,11188,2
STAB1,2558.856904340825,0.07589539081161946,0.2124066525357275,0.3573117409722071,0.720858441350992,0.7580596934999353,ENSG00000010327.10,23166,5
FUZ,1248.9178783618927,-0.12394684509724903,0.1314876457148679,-0.9426501206510978,0.3458598942724712,0.4008631511964421,ENSG00000010361.14,80199,4
SLC6A13,881.4233122077717,-5.524900738090337,0.39076623325103,-14.138633965696611,2.195039781317585e-45,1.5289756060905483e-43,ENSG00000010379.16,6540,3
IDS,818.6590480646174,1.0847649128604828,0.1726978541609351,6.281287733023035,3.357800279140024e-10,1.3922477921803361e-9,ENSG00000010404.18,3423,1
PRSS3,29.609114566506577,-1.5849063504758087,0.4736536380245044,-3.3461293722688854,8.194815126150336e-4,0.0015295502584399853,ENSG00000010438.17,5646,2
ZNF200,470.67952545557154,0.3103734408144347,0.06323337937125006,4.908379781384107,9.183189337087431e-7,2.555618385432925e-6,ENSG00000010539.12,7752,11
CD4,1490.0189281593284,0.43574081813834636,0.25357712594438164,1.71837588471572,0.08572807604828658,0.1137851989470254,ENSG00000010610.10,920,9
LRRC23,617.8535609744459,-0.48944346666776317,0.11329052238024516,-4.320250771066345,1.558519885718901e-5,3.7023727928427816e-5,ENSG00000010626.15,10233,2
BTK,217.4409227406414,1.1098888265311375,0.2912745263369136,3.810456206003209,1.3871058381111176e-4,2.8797156318911816e-4,ENSG00000010671.16,695,4
HFE,921.8547619418442,-0.1067986213596619,0.1659817012661127,-0.6434361170237397,0.519941154321754,0.5729593931851228,ENSG00000010704.18,3077,11
SCMH1,2677.6052070993205,0.35035813201855653,0.08357431881082703,4.192174546006204,2.7629328439812364e-5,6.328994152419697e-5,ENSG00000010803.16,22955,4
FYN,1220.8148316905333,-0.7600595751487488,0.176921255846762,-4.296033122255611,1.7388161343887856e-5,4.1009072106800884e-5,ENSG00000010810.17,2534,2
HIVEP2,1936.8545010586422,-0.5092159110440682,0.13329723902048027,-3.8201534764409515,1.3336865934506702e-4,0.00027747504381410106,ENSG00000010818.10,3097,8
FMO1,1381.5229910712947,-5.7198342492037035,0.5064534887108959,-11.293898406668525,1.4065659206571808e-29,3.4122561701046313e-28,ENSG00000010932.17,2326,1
LYPLA2,3869.7580818791844,-0.4227704254273722,0.09669053065747675,-4.372407748231557,1.2288374703312347e-5,2.9566275010765457e-5,ENSG00000011009.11,11313,1
CLCN6,1141.569010844866,-0.046755651821717266,0.11095596009654349,-0.42138927716036956,0.6734708478839178,0.7157153750113795,ENSG00000011021.23,1185,5
MRC2,1485.7907624656866,-2.096653914804082,0.2611680884599718,-8.027986601147973,9.908529892533238e-16,7.330072021708146e-15,ENSG00000011028.14,9902,4
SLC6A7,1.8527803753720216,-0.17276257532861103,0.4304650716992335,-0.40133935756190797,0.6881702904852904,0.7289419258684291,ENSG00000011083.9,6534,1
BTBD7,2441.5012448660914,0.06219835287586872,0.0935291815097777,0.6650154729448413,0.506040596546891,0.5598116372130695,ENSG00000011114.15,55727,5
APBA3,987.9442657817665,0.34528950858897456,0.07755236931605645,4.452339904430048,8.493956639796613e-6,2.08558095978114e-5,ENSG00000011132.12,9546,9
MKS1,610.6981198156647,-0.5684460727261395,0.09701152227524198,-5.859572753773918,4.6405954497549015e-9,1.6981924128940532e-8,ENSG00000011143.19,54903,2
ABHD5,1512.8582136122468,-0.2256171815914704,0.13103257270353533,-1.7218404320117813,0.08509842810603803,0.11305078909181968,ENSG00000011198.10,51099,2
UTP18,1343.6385763751111,-0.44490178454038093,0.10009791996577101,-4.444665630339944,8.802866828868323e-6,2.1571009703168188e-5,ENSG00000011260.14,51096,2
RNF216,3939.801762447628,0.7059005052406992,0.09521441659815025,7.413798566029474,1.2273229041215685e-13,7.343843045903691e-13,ENSG00000011275.19,54476,2
TTC19,3073.238715641738,-0.4861897933033401,0.10400872031307912,-4.674509904937285,2.946564155996206e-6,7.676287901674618e-6,ENSG00000011295.16,54902,4
PTBP1,12855.839758024971,0.33632338107175613,0.06293466874176705,5.344008124548254,9.091349034352667e-8,2.8742798918741534e-7,ENSG00000011304.22,5725,2
SYT7,6812.172682269054,1.5920132854305877,0.3499474538947028,4.549292380077198,5.382661163961246e-6,1.3558312550575852e-5,ENSG00000011347.10,9066,4
LARS2,4527.125646787545,1.3512118830955198,0.13587325470551814,9.944649416281656,2.661093689667503e-23,3.89827368667013e-22,ENSG00000011376.12,23395,1
PIK3C2A,6259.782403443099,0.24271013126477758,0.14093342032147796,1.7221616470468153,0.08504024030924481,0.11297882176104515,ENSG00000011405.13,5286,2
PLAUR,936.9835800797414,0.307957587910633,0.36270966574714314,0.8490470946680544,0.395855087338974,0.45160570855013044,ENSG00000011422.12,5329,8
ANLN,261.43591454700623,1.6882809245407793,0.318421578919055,5.302030503937524,1.1452169938063452e-7,3.5749912667557466e-7,ENSG00000011426.11,54443,4
WIZ,4999.5700650665085,0.9210808380218477,0.09786683847855196,9.411572421680992,4.8876934200972594e-21,5.872953908409777e-20,ENSG00000011451.21,58525,8
RABGAP1,4017.51446850849,0.27409242277674195,0.11900442541392066,2.3032120177329114,0.021266916986099883,0.03169203086771006,ENSG00000011454.18,23637,4
DCN,9479.795309742005,-3.481839538244344,0.5032264317307447,-6.919031510863345,4.5474171550645724e-12,2.2999436765038125e-11,ENSG00000011465.18,1634,8
PPP5C,4376.021333367543,0.3123106983616881,0.08040669066721236,3.8841381950947502,1.026934885179282e-4,2.1733454616703149e-4,ENSG00000011485.15,5536,2
CEP68,1580.2906487635632,-0.5660060188919438,0.11002579261897759,-5.144303034944166,2.685158035760762e-7,8.007554976993028e-7,ENSG00000011523.14,23177,8
MAP4K3,3152.9746881370943,-0.11948045394658845,0.15865847786193227,-0.7530669369623141,0.4514096913708624,0.5068273270374816,ENSG00000011566.15,8491,4
ZBTB32,21.48645713301955,-0.15334143709872688,0.27158488629508076,-0.5646169755268313,0.5723343163773579,0.6227933953511167,ENSG00000011590.14,27033,12
TYROBP,1555.9074043278836,1.1926206623948483,0.300425430495282,3.9697726668101683,7.194123793959338e-5,1.5567077100023816e-4,ENSG00000011600.12,7305,8
TMEM159,2525.1371357998123,0.8854462392434085,0.20520223926899994,4.314993064391834,1.596079142187864e-5,3.7852067369213455e-5,ENSG00000011638.11,57146,10
GABRA3,1.6665222268718214,-1.8864704384326116,0.5234037594125642,-3.6042355533515247,3.13073027878605e-4,6.19955532864107e-4,ENSG00000011677.13,2556,6
BRCA1,189.03756848068383,-0.06291141765395547,0.2327325434069399,-0.2703163757547777,0.7869168681236938,0.8178390362990312,ENSG00000012048.23,672,2
CD22,993.7015721208295,3.2965212233327357,0.3987109743322536,8.267947048243725,1.3628539508045536e-16,1.1036567778299553e-15,ENSG00000012124.17,933,8
MBTPS2,1618.3430500588786,0.42026134189160347,0.11873345352024386,3.5395360737144697,4.0083098447400896e-4,7.826661625092344e-4,ENSG00000012174.12,51360,1
PRICKLE3,765.9150448189722,1.429190361286067,0.09394901927405151,15.212403198346168,2.9260148275606374e-52,2.9619058727476225e-50,ENSG00000012211.13,4007,8
