pathway,pval,padj,log2err,ES,NES,size,leadingEdge
10,5.746969867593115e-4,0.005746969867593115,0.47727081536286214,0.4400922155863101,1.4469158983749768,439,
11,0.17449498079068038,0.43623745197670094,0.035646088040002646,0.33665892593479974,1.1079846770990582,446,
12,0.279901356350185,0.46650226058364164,0.06619244226344878,-0.27931054398392824,-1.0328714671405712,582,
13,0.9950650515926425,0.9950650515926425,0.01023213959667943,0.23178239411209228,0.6569851495586382,99,
14,0.9035525752603795,0.9950650515926425,0.010979706857193428,0.27058576551019115,0.8130610813168663,159,
15,0.1424968474148802,0.43623745197670094,0.04288889355977276,0.38237765578428506,1.168179353963397,184,
16,0.25622353937341236,0.46650226058364164,0.03417579818011894,0.5579419485407772,1.1807903949518617,18,
3,0.6055644302449414,0.8650920432070592,0.01579455899991934,0.2994610435037657,0.9475899360063267,263,
7,0.0033128631187835434,0.016564315593917717,0.4317076958033464,-0.38336964902316395,-1.342679706413358,296,
9,0.9509001636661211,0.9950650515926425,0.03140615144364875,-0.24631370511030423,-0.8961817659723235,480,
