pathway,pval,padj,log2err,ES,NES,size,leadingEdge
10,0.39383926668087826,0.5626275238298261,0.018847893868579938,0.32811630325813745,1.0282380451516144,416,
11,0.7327027314273568,0.7327027314273568,0.009685329889643494,0.2928324629614454,0.9189900823160969,428,
12,0.6414466846809395,0.7127185385343772,0.011363470724590206,0.300973249223731,0.9548256560040059,550,
13,0.19258879343505578,0.38517758687011155,0.034322974589950116,0.41523159964373235,1.1601223823426792,100,
14,0.5416865742952699,0.6771082178690874,0.015839219998248395,0.330356351266258,0.9683223671486624,160,
15,0.015269844970276256,0.09090909090909091,0.12546307449003974,0.45413923973084525,1.353083668077976,191,
16,0.28923595161537285,0.48205991935895476,0.029899859809317336,0.5437031096957758,1.1507207912252928,18,
3,0.1913442182956833,0.38517758687011155,0.03175992004697131,0.3688548186342109,1.1237828090374573,261,
7,0.01818181818181818,0.09090909090909091,0.34452128726268,-0.33313168524359726,-1.2132562713921897,292,
9,0.05793991416309013,0.19313304721030042,0.27986565266193214,-0.29714783269960865,-1.1230692852472457,488,
