pathway,pval,padj,log2err,ES,NES,size,leadingEdge
10,0.09180661577608143,0.2884615384615385,0.04583293029103745,0.40594751458110423,1.1676300295186097,434,
11,0.99979633401222,0.99979633401222,0.001969648688471612,0.2347131407613624,0.6749354405969583,433,
12,0.7756915001009489,0.99979633401222,0.007922224590337108,0.3152600056435505,0.9120868781258841,567,
13,0.9986993023530802,0.99979633401222,0.0061903641142866325,0.22494144932891413,0.5941067969658473,106,
14,0.39930980741400424,0.6655163456900071,0.01929268795571947,0.37790144005698423,1.034334407246736,162,
15,0.03506114056920247,0.2884615384615385,0.07890358414389557,0.46855479304603037,1.303276357168361,204,
16,0.9788235294117648,0.99979633401222,0.02042985150010827,-0.2465561938974563,-0.5812285026563817,19,
3,0.1598144634197765,0.319628926839553,0.034135921063756305,0.408502928260181,1.1515769532263636,260,
7,0.10230179028132992,0.2884615384615385,0.229089382980959,-0.30475772612625346,-1.1146336011020956,296,
9,0.11538461538461539,0.2884615384615385,0.34452128726268,-0.2819245746658446,-1.0677999980422275,483,
