pathway,pval,padj,log2err,ES,NES,size,leadingEdge
10,2.8807573370029095e-7,1.4403786685014549e-6,0.674962860011025,0.5190889211084492,1.5714307955744866,420,
11,1.665906125890591e-6,5.553020419635304e-6,0.6435518361507222,0.5000889943312694,1.5161000202646417,439,
12,2.128568100720346e-5,5.321420251800865e-5,0.5756102610711286,0.4597515408451418,1.4025353172162986,547,
13,0.17138759411975618,0.21423449264969524,0.03526786798142229,0.432427819669599,1.1845455127689357,96,
14,0.1120350601191145,0.1600500858844493,0.043365339752818116,0.42226833596913094,1.2079784859843756,153,
15,0.04337773863261037,0.07229623105435062,0.0712828552644706,0.4436343360019823,1.2842964647243886,179,
16,0.0372936320754717,0.07229623105435062,0.08963764947620609,0.6832019463206777,1.4586352822349045,19,
3,0.460658688975961,0.460658688975961,0.016443969643239277,0.34006843421885963,1.009255246936504,263,
7,0.45800083998320035,0.460658688975961,0.016403887765455403,0.3390576639728461,1.012158418838139,291,
9,2.1666120953678866e-7,1.4403786685014549e-6,0.6901324587967956,0.5083837933096508,1.5465071603273628,481,
