pathway,pval,padj,log2err,ES,NES,size,leadingEdge
10,0.011464968152866241,0.03821656050955414,0.34452128726268,-0.3133316132412003,-1.273886598572684,318,
11,0.060951025732242384,0.12190205146448477,0.06200944379153928,0.358902551276131,1.2626021672220544,319,
12,1.6346496527781535e-4,0.0013420977207298315,0.5188480777437918,-0.3390819687088404,-1.4056291004579138,403,
13,0.346875,0.43359375,0.040839020495323855,-0.31680791181750817,-1.0480826269678125,66,
14,0.05257239246556086,0.12190205146448477,0.07324259616560477,0.4439067993737513,1.376647378671782,93,
15,0.7455012853470437,0.7455012853470437,0.01302504146639989,0.2650454602584055,0.853580216004595,125,
3,0.17097683539649466,0.2849613923274911,0.03583893393457416,0.33213649811341767,1.1468741668623628,247,
6,0.3342017507294706,0.43359375,0.020999590625255547,0.27784018013947603,1.037326918605952,967,
7,0.6499576219881341,0.7221751355423712,0.013403209448937933,0.2644591386362412,0.918913774628848,272,
9,2.684195441459663e-4,0.0013420977207298315,0.49849310876659025,-0.3392337121837029,-1.4049688588720266,399,
