pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,1.4211470070174957e-10,1.7053764084209948e-9,0.826657301178302,-0.27187993156555956,-2.7892708978289895,146,
10,0.6312567518905293,0.8416756691873724,0.013699777582078876,0.23098555951660735,0.8713913972798928,20,
11,0.19454958364875094,0.3890991672975019,0.08891772703915364,-0.20439336331777075,-1.22448038148792,27,
12,0.8872881355932203,0.9679506933744221,0.008711127331338544,0.17445730037762064,0.6471914614150776,19,
2,4.08570424017306e-6,2.4514225441038358e-5,0.610526878385931,0.35928761074005144,2.0365954547405503,156,
3,0.4324593016030819,0.7413588027481404,0.01974978441713049,0.2920003819181639,1.0303087735004195,16,
4,6.214706130854901e-4,0.0024858824523419604,0.47727081536286214,0.359126200874747,1.8668631354200054,80,
5,0.12600021337885414,0.30240051210924995,0.039433467181219456,0.27466653443554967,1.330031618092815,53,
6,0.8866065814294697,0.9679506933744221,0.006157333163303856,0.13294305175715831,0.6709088481747614,66,
7,0.9740518962075848,0.9740518962075848,0.03484335368345159,-0.10450902314972527,-0.5832455969333074,23,
8,0.605722891566265,0.8416756691873724,0.011700403722456095,0.16249787309069602,0.942293232906265,209,
9,0.0019865636030116994,0.005959690809035098,0.4317076958033464,-0.3457086983287714,-2.0457751948665033,26,
