pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.20962096209620962,0.5764576457645765,0.028020170993616672,0.33050379234537486,1.1469222785953024,75,
10,0.1174130368254616,0.5764576457645765,0.0400121594010984,0.4219614630041951,1.2955874522265094,24,
11,0.37244527440605874,0.639036096390361,0.01928011364036501,0.3715329813672454,1.0886594726395582,18,
12,0.1626724763979666,0.5764576457645765,0.03346192708860291,0.43016523266348566,1.2604626744466705,18,
2,0.0033996600339966003,0.037396260373962605,0.24883263202204342,0.3661602707443426,1.3418259209722843,219,
3,0.5907239109996866,0.7957093179570932,0.012647696560278499,0.32481755528051526,0.9389582259768569,17,
4,0.4066593340665933,0.639036096390361,0.017427177829208905,0.2944357440818841,1.0402107502302704,99,
5,0.9828017198280172,0.9828017198280172,0.0019084653695004752,0.1791769111428667,0.6261190627616889,84,
6,0.350785864450896,0.639036096390361,0.01964576985793843,0.3266787692627289,1.0871229573132069,45,
8,0.651034896510349,0.7957093179570932,0.010562560824243113,0.260745947373067,0.9464707910552044,165,
9,0.9408783783783784,0.9828017198280172,0.0050431538286311505,0.20741549258933617,0.5852737419973435,15,
