pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.17588825603471658,0.2418463520477353,0.03737978939469848,-0.1532306089756182,-1.275883110358997,73,
10,0.08995608443122255,0.176459219172787,0.055427449812165096,-0.20010855414169848,-1.438761474578622,49,
11,0.04722761918995666,0.15849886030608923,0.07993070157109763,-0.2568443515087462,-1.5699102226661283,33,
12,1.5172141625925632e-4,0.0016689355788518194,0.5188480777437918,-0.4701917290893253,-2.4717190883033635,23,
2,0.4139600050948924,0.5059511173382019,0.02079406813901057,-0.1071682114568399,-1.0387468099492922,114,
4,0.8083832335329342,0.8083832335329342,0.02643833789493013,0.08294892855644131,0.7546670685240087,59,
5,0.057635949202214265,0.15849886030608923,0.10763038966489588,0.18552221419341464,1.4939251441651469,45,
6,0.09625048318515655,0.176459219172787,0.09037473381123272,0.13378466280798362,1.3706739892594881,77,
7,0.7002174588381485,0.7702392047219634,0.01592577633851907,-0.15635683569374698,-0.8084984164294909,22,
8,0.16787003610108303,0.2418463520477353,0.08523709707436085,0.08159546441923704,1.2388123453364905,213,
9,0.013994002570327003,0.07696701413679852,0.1453927802364807,-0.24700651475345758,-1.7828651091774559,50,
