pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,2.553639896890111e-6,2.553639896890111e-5,0.6272567397185284,-0.296539627308565,-3.028605921680193,90,
11,0.062218583708555056,0.12443716741711011,0.08154603126573544,0.32645309656311483,1.5481068469972947,16,
12,0.10854456255110384,0.18090760425183974,0.06095311560061419,0.30487171377092775,1.4019907706560433,15,
2,0.5278780585639792,0.5865311761821991,0.024141612207546344,0.07361055450032672,0.9338345695077382,156,
4,0.0011134013791484635,0.005567006895742317,0.45505986738722953,0.20807177419330958,2.1809941626897023,94,
5,0.6309736268094388,0.6309736268094388,0.021120687983459337,-0.09536712011039199,-0.857396182462293,68,
6,0.025955446556304926,0.06607033949989835,0.12745704201113045,0.17830007165564438,1.7431915491744818,80,
7,0.02642813579995934,0.06607033949989835,0.1259529316386221,0.29543602311746897,1.72427431246313,25,
8,0.506429277942631,0.5865311761821991,0.024598111373244077,-0.07054934784126754,-0.941644955400051,188,
9,0.25908558030480655,0.3701222575782951,0.03690698307873638,-0.20503721833297753,-1.1726481169270684,24,
