pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.2827164764210769,0.78419947053407,0.025315845807360526,0.2584588074513594,1.1456781842718031,66,
10,0.7147100424328147,0.8735344963067736,0.014276618846842639,0.23724698104142494,0.801454897335508,19,
11,0.5544179523141655,0.78419947053407,0.01784570181319017,0.27185885960694545,0.9301012756864563,20,
12,0.0822757735633823,0.45251675459860263,0.05832860730117554,0.43906198174937694,1.4630875545904833,18,
2,0.0735356990166738,0.45251675459860263,0.053097257605142945,0.27946454858822956,1.3437556456806206,126,
4,0.973920763511264,0.973920763511264,0.0053900871890911,0.12245751229544069,0.5646643853285939,88,
5,0.43090352567736084,0.78419947053407,0.018426343217477752,0.22809393405137285,1.0302805215442912,76,
6,0.5703268876611418,0.78419947053407,0.014559195819947508,0.21057546993315912,0.9351246268163956,67,
7,0.8011214953271028,0.8812336448598131,0.02762862512811316,-0.16624780831694322,-0.7508019768434697,24,
8,0.5243664717348928,0.78419947053407,0.014111930011129212,0.19639580537596016,0.9810077879850032,206,
9,0.5591576260370134,0.78419947053407,0.01634067512752296,0.2375002151668564,0.9309558842376915,35,
