pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.00874834195446769,0.0962317614991446,0.3807304007227924,-0.22910566228488735,-1.5657929437592897,84,
10,0.804341852157186,0.8847760373729047,0.012142913104369692,0.1716660886408587,0.7430388738115775,32,
11,0.3905526817315546,0.6137256427210144,0.02274793187652419,0.24079439692238247,1.0580977469592134,34,
12,0.2746042670337233,0.5034411562284927,0.04900755275729816,-0.23118845271322114,-1.139576375302746,27,
2,0.15828402366863906,0.4352810650887574,0.03589878500722382,0.21943351752254503,1.2348681824506362,126,
4,0.6636519188462479,0.8847760373729047,0.013236994019644392,0.16760228218142326,0.8700412604783002,75,
5,0.15810725552050472,0.4352810650887574,0.0381266974919746,0.2581143183863484,1.2775167993252903,58,
6,0.9196242171189979,0.9196242171189979,0.031200359814268695,-0.10712146168327702,-0.7053291301474848,70,
7,0.13363469416584264,0.4352810650887574,0.04464544131395344,0.3275221757987627,1.3420486885124092,26,
8,0.8009194910723831,0.8847760373729047,0.008351127949977511,0.13596809846625815,0.810390814437853,214,
9,0.21741417861370513,0.47831119295015134,0.03242531173666735,0.26174132988664717,1.216369288281545,43,
