pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.10536359983929289,0.5794997991161108,0.04215406713532638,-0.23970538147212062,-1.267353333982439,96,
10,0.7127518264334736,0.784027009076821,0.010730458728648204,-0.20558359427745274,-0.8362435220981516,23,
11,0.6782082047765969,0.784027009076821,0.011941401507274263,-0.22558441323662812,-0.8561158958739391,18,
12,0.6766036422688784,0.784027009076821,0.012195515492883871,-0.23210991538084402,-0.8515505051778591,16,
2,0.2328,0.6402,0.026193976396820005,-0.20628781459537798,-1.1370247213122036,159,
4,0.01807898192101808,0.19886880113119887,0.10701482812120706,-0.28846482603685564,-1.4795883105964527,75,
5,0.9740325865580448,0.9740325865580448,0.0030801778267331385,-0.11305295388128371,-0.5618841132370743,60,
6,0.6077930047044385,0.784027009076821,0.011921615398680516,-0.19000157331278203,-0.9311119201679491,55,
7,0.5335661184951566,0.784027009076821,0.015208726499038079,-0.24545357926701913,-0.9608964415935156,20,
8,0.6602660266026603,0.784027009076821,0.010351849501924115,-0.1676448195881896,-0.9243300926104601,161,
9,0.16432182897340075,0.6025133729024694,0.03441742715306239,-0.30638951356826816,-1.2613550682698866,24,
