pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.9946926138876603,0.9946926138876603,0.01001920339205252,0.09583154312051001,0.5131760785815221,98,
10,0.12589204025617567,0.25178408051235135,0.053097257605142945,0.36206109523662433,1.360112047853188,20,
11,0.005097556688345931,0.031399521531100476,0.269842314478839,0.4510592252549532,1.8562615961701214,28,
2,0.009458297506448839,0.031527658354829464,0.1776735264392179,0.2917327367434144,1.5997286943606333,112,
4,0.0062799043062200955,0.031399521531100476,0.31827967504043686,-0.27282078718824965,-1.620054954705816,88,
5,0.21094927172275238,0.31929347826086957,0.047656785478466246,-0.22891844722927485,-1.1849061822179294,49,
6,0.7221052631578947,0.8023391812865497,0.025669630587903003,-0.1456650275176397,-0.8691451666317528,90,
7,0.6436093824796554,0.8023391812865497,0.02379176981813069,-0.18823511578073276,-0.8769091275917491,34,
8,0.06669712197350389,0.1667428049337597,0.11872977154195252,-0.18402668013060927,-1.2754170834268692,224,
9,0.2235054347826087,0.31929347826086957,0.03706834146874861,0.2711070798706881,1.2009676050189153,38,
