pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.04032741066081054,0.1344247022027018,0.1006043085747754,-0.16428905619934933,-1.6236342448576286,78,
10,0.3350454365863295,0.5303073995040083,0.03192894697703439,0.2188405784036202,1.0944564980413287,18,
12,0.3712151796528058,0.5303073995040083,0.030396960103078893,-0.1991279069767442,-1.0573668049935574,20,
2,0.027172827172827173,0.1344247022027018,0.12309533085096205,-0.1391335483752105,-1.7082950865443878,137,
3,0.1069182389937107,0.2138364779874214,0.06017838624005827,0.30620490571639125,1.4116421200427296,15,
4,0.49463454140514274,0.6182931767564284,0.025377558378818346,0.09165756126946623,0.9531761565764365,89,
5,0.005362462760675273,0.053624627606752726,0.27986565266193214,0.24052065509493797,2.0535989570288256,57,
6,0.06693147964250248,0.1673286991062562,0.0773124512019339,0.17694682557388353,1.5107967184966162,57,
8,0.8147547628698825,0.8147547628698825,0.017598050710178528,0.054708124812127945,0.7312132806038232,172,
9,0.7555381297784748,0.8147547628698825,0.01822080687069813,0.12094395210823045,0.7688992587131461,30,
