pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.34736526347365265,0.9502602081665332,0.01977592627732482,0.2947513743793715,1.0671790521204967,92,
10,0.8461617405582923,0.9615616824310727,0.006657999769898796,0.24052800068432056,0.7319908000006989,20,
11,0.7867072552004059,0.9615616824310727,0.007768567563116409,0.25296279074144323,0.7988157196326325,25,
2,0.577942205779422,0.9615616824310727,0.012328953734940116,0.2585838582975204,0.9735754929303196,183,
4,0.282971702829717,0.9502602081665332,0.022966704938482067,0.30519138945077773,1.096840490483652,84,
5,0.38010408326661327,0.9502602081665332,0.018438079332851666,0.3059062455959493,1.0616762147214869,55,
6,0.9249399519615693,0.9615616824310727,0.004134408028250689,0.20640316950520082,0.7135387008356282,53,
7,0.17755102040816326,0.9502602081665332,0.03143893090232685,0.39889538303566063,1.2347641973568757,22,
8,0.47785221477852213,0.9557044295570443,0.015081214573772166,0.2696314331818222,1.009335365754976,164,
9,0.9615616824310727,0.9615616824310727,0.00311327137375248,0.1797588447735367,0.5876064845564353,32,
