pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.039784413926062925,0.2188142765933461,0.3217759180753611,-0.1292126748302667,-1.4531812004123696,119,
10,0.2782520066250478,0.6257907542579076,0.02729651069859565,0.2705564233601005,1.155049523912567,20,
11,0.9911417322834646,0.9911417322834646,0.02873291589127987,-0.0965596606173375,-0.5460970601963872,22,
12,0.9196075933239903,0.9911417322834646,0.00895832652161287,0.1481606578731114,0.6325220270639761,20,
2,1.4877327752101221e-9,1.6365060527311342e-8,0.7881868108002371,0.33013862763322044,2.404043540180041,221,
4,0.07840425531914894,0.2874822695035461,0.05116542000133411,0.21968976203601587,1.389051252028645,81,
5,0.28445034284450343,0.6257907542579076,0.024520854089706765,0.19626483027766506,1.1446942692670135,57,
6,0.6007479601087942,0.8610436893203884,0.013584829443150235,0.16479324394637918,0.9084622915191657,46,
7,0.9644187540141297,0.9911417322834646,0.008313370766188552,0.133399905144712,0.5603186025923775,19,
8,0.6262135922330098,0.8610436893203884,0.12644847069990559,-0.07543652851903644,-0.9235819175576515,161,
9,0.5087572977481234,0.8610436893203884,0.03871192380368308,-0.1985018540541459,-0.9592756866063545,16,
